step,direction_post_mean,direction_post_std,direction_sat_frac,direction_mu_mean,direction_sigma_mean,size_post_mean,size_post_std,size_sat_frac,size_mu_mean,size_sigma_mean,tf_post_mean,tf_post_std,tf_sat_frac,tf_mu_mean,tf_sigma_mean,sl_post_mean,sl_post_std,sl_sat_frac,sl_mu_mean,sl_sigma_mean,tp_post_mean,tp_post_std,tp_sat_frac,tp_mu_mean,tp_sigma_mean
512,-0.31241047382354736,4.893213748931885,0.853515625,-0.005155152,5.51644,-0.4701381027698517,5.450387001037598,0.861328125,-0.0031265325,5.51644,-0.8579923510551453,5.3949689865112305,0.859375,-0.0026967353,5.51644,-0.49684494733810425,5.825453758239746,0.87109375,-0.0037384513,5.51644,0.41376107931137085,5.222760200500488,0.859375,0.00080246525,5.51644
1024,0.9750295877456665,6.295846939086914,0.900390625,0.4079518,6.3174095,-0.298235148191452,6.582054615020752,0.875,-0.32867602,6.2025895,1.1981749534606934,5.553317070007324,0.876953125,0.90414846,6.1586637,0.10800617188215256,5.963354587554932,0.890625,0.5258971,6.2031417,1.0841420888900757,5.9951677322387695,0.798828125,0.38505042,6.450033
