[ANCHOR_DEBUG] upd=96 n_upd=96 a0_mean=-0.0096 a0_std=0.3688 anchor=0.0000 | adv_BUY=-0.0334 adv_SELL=-0.0354 adv_HOLD=0.1049 | v_BUY=-0.4246 v_SELL=-0.4126 | nB=752 nS=840 nH=456
[ANCHOR_DEBUG] upd=100 n_upd=100 a0_mean=-0.0107 a0_std=0.3689 anchor=0.0000 | adv_BUY=-0.1054 adv_SELL=0.0967 adv_HOLD=-0.0078 | v_BUY=-0.4145 v_SELL=-0.4101 | nB=724 nS=824 nH=500
[ANCHOR_DEBUG] upd=104 n_upd=104 a0_mean=-0.0152 a0_std=0.3689 anchor=0.0000 | adv_BUY=0.0900 adv_SELL=-0.0122 adv_HOLD=-0.1449 | v_BUY=-0.3497 v_SELL=-0.3585 | nB=752 nS=848 nH=448
[ANCHOR_DEBUG] upd=108 n_upd=108 a0_mean=-0.0142 a0_std=0.3690 anchor=0.0000 | adv_BUY=0.0430 adv_SELL=-0.0601 adv_HOLD=0.0126 | v_BUY=-0.3428 v_SELL=-0.3387 | nB=824 nS=796 nH=428
[ANCHOR_DEBUG] upd=112 n_upd=112 a0_mean=-0.0163 a0_std=0.3690 anchor=0.0000 | adv_BUY=-0.1214 adv_SELL=0.0784 adv_HOLD=0.0191 | v_BUY=-0.2924 v_SELL=-0.3063 | nB=752 nS=936 nH=360
[ANCHOR_DEBUG] upd=116 n_upd=116 a0_mean=-0.0211 a0_std=0.3690 anchor=0.0000 | adv_BUY=0.0187 adv_SELL=-0.0005 adv_HOLD=-0.0323 | v_BUY=-0.2054 v_SELL=-0.2168 | nB=724 nS=892 nH=432
[ANCHOR_DEBUG] upd=120 n_upd=120 a0_mean=-0.0246 a0_std=0.3690 anchor=0.0000 | adv_BUY=-0.0630 adv_SELL=0.0539 adv_HOLD=0.0216 | v_BUY=-0.1737 v_SELL=-0.1687 | nB=780 nS=824 nH=444
[ANCHOR_DEBUG] upd=124 n_upd=124 a0_mean=-0.0306 a0_std=0.3690 anchor=0.0000 | adv_BUY=-0.0107 adv_SELL=-0.0118 adv_HOLD=0.0739 | v_BUY=-0.1592 v_SELL=-0.1624 | nB=800 nS=876 nH=372
[ANCHOR_DEBUG] upd=128 n_upd=128 a0_mean=-0.0276 a0_std=0.3691 anchor=0.0000 | adv_BUY=-0.0359 adv_SELL=0.0671 adv_HOLD=-0.1062 | v_BUY=-0.2836 v_SELL=-0.2775 | nB=712 nS=884 nH=452
[ANCHOR_DEBUG] upd=132 n_upd=132 a0_mean=-0.0366 a0_std=0.3693 anchor=0.0001 | adv_BUY=-0.0230 adv_SELL=0.0488 adv_HOLD=-0.0834 | v_BUY=-0.3257 v_SELL=-0.2997 | nB=704 nS=920 nH=424
[ANCHOR_DEBUG] upd=136 n_upd=136 a0_mean=-0.0481 a0_std=0.3693 anchor=0.0001 | adv_BUY=-0.0101 adv_SELL=0.0347 adv_HOLD=-0.0824 | v_BUY=-0.3057 v_SELL=-0.3111 | nB=728 nS=928 nH=392
[ANCHOR_DEBUG] upd=140 n_upd=140 a0_mean=-0.0428 a0_std=0.3694 anchor=0.0001 | adv_BUY=-0.0647 adv_SELL=0.0292 adv_HOLD=-0.0015 | v_BUY=-0.4642 v_SELL=-0.4687 | nB=556 nS=1016 nH=476
[ANCHOR_DEBUG] upd=144 n_upd=144 a0_mean=-0.0514 a0_std=0.3694 anchor=0.0001 | adv_BUY=-0.0647 adv_SELL=0.1103 adv_HOLD=-0.1653 | v_BUY=-0.3840 v_SELL=-0.3728 | nB=624 nS=956 nH=468
