2026-08-18 10:36:05,092 INFO [ACTION_DIFF] Step 300 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 109, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 300, 'deadband_reject': 61, 'routing_reject': 113, 'budget_reject': 0, 'barrier_reject': 109, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:12 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 350 | Requested=BUY Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 130, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 350, 'deadband_reject': 69, 'routing_reject': 134, 'budget_reject': 0, 'barrier_reject': 130, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:12,925 INFO [ACTION_DIFF] Step 350 | Requested=BUY Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 130, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 350, 'deadband_reject': 69, 'routing_reject': 134, 'budget_reject': 0, 'barrier_reject': 130, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:21 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 400 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 148, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 400, 'deadband_reject': 79, 'routing_reject': 156, 'budget_reject': 0, 'barrier_reject': 148, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:21,584 INFO [ACTION_DIFF] Step 400 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 148, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 400, 'deadband_reject': 79, 'routing_reject': 156, 'budget_reject': 0, 'barrier_reject': 148, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:29 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 450 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 450, 'deadband_reject': 88, 'routing_reject': 179, 'budget_reject': 0, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:29,373 INFO [ACTION_DIFF] Step 450 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 450, 'deadband_reject': 88, 'routing_reject': 179, 'budget_reject': 0, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:40 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 500 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 10, 'cooldown_hold_min': 4, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 3, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 500, 'deadband_reject': 98, 'routing_reject': 205, 'budget_reject': 3, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 15}
2026-08-18 10:36:40,603 INFO [ACTION_DIFF] Step 500 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 10, 'cooldown_hold_min': 4, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 3, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 500, 'deadband_reject': 98, 'routing_reject': 205, 'budget_reject': 3, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 15}
2026-08-18 10:37:01 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 550 | Requested=BUY Executed=BUY | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 15, 'cooldown_hold_min': 4, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 18, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 550, 'deadband_reject': 105, 'routing_reject': 224, 'budget_reject': 18, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 21}
