2026-08-18 10:36:38,257 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=486 | chunk=0/1 | step_in_chunk=536 | exec_src=open[t+1] | raw_exec_p=80259.99 | buy_price(+slip)=80276.04 | size=0.000201 | notional=$16.13 | capital_before=$20.21 | cash_after=$4.04 | exposure=79.83% | SL=1.11% TP=1.66% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:36:42 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=506 | chunk=0/1 | step_in_chunk=556 | exec_src=open[t+1] | raw_exec_p=80029.47 | buy_price(+slip)=80045.48 | size=0.000216 | notional=$17.32 | capital_before=$20.10 | cash_after=$2.74 | exposure=86.18% | SL=0.60% TP=1.69% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:36:42,456 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=506 | chunk=0/1 | step_in_chunk=556 | exec_src=open[t+1] | raw_exec_p=80029.47 | buy_price(+slip)=80045.48 | size=0.000216 | notional=$17.32 | capital_before=$20.10 | cash_after=$2.74 | exposure=86.18% | SL=0.60% TP=1.69% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:36:57 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=526 | chunk=0/1 | step_in_chunk=576 | exec_src=open[t+1] | raw_exec_p=80118.03 | buy_price(+slip)=80134.05 | size=0.000195 | notional=$15.61 | capital_before=$20.07 | cash_after=$4.43 | exposure=77.74% | SL=0.60% TP=1.19% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:36:57,630 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=526 | chunk=0/1 | step_in_chunk=576 | exec_src=open[t+1] | raw_exec_p=80118.03 | buy_price(+slip)=80134.05 | size=0.000195 | notional=$15.61 | capital_before=$20.07 | cash_after=$4.43 | exposure=77.74% | SL=0.60% TP=1.19% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:01 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=550 | chunk=0/1 | step_in_chunk=600 | exec_src=open[t+1] | raw_exec_p=81970.01 | buy_price(+slip)=81986.40 | size=0.000186 | notional=$15.24 | capital_before=$20.04 | cash_after=$4.77 | exposure=76.04% | SL=0.60% TP=0.90% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:01,840 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=550 | chunk=0/1 | step_in_chunk=600 | exec_src=open[t+1] | raw_exec_p=81970.01 | buy_price(+slip)=81986.40 | size=0.000186 | notional=$15.24 | capital_before=$20.04 | cash_after=$4.77 | exposure=76.04% | SL=0.60% TP=0.90% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:50 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=813 | chunk=0/1 | step_in_chunk=863 | exec_src=open[t+1] | raw_exec_p=80590.01 | buy_price(+slip)=80606.13 | size=0.000202 | notional=$16.31 | capital_before=$19.96 | cash_after=$3.61 | exposure=81.72% | SL=0.70% TP=1.41% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:50,673 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=813 | chunk=0/1 | step_in_chunk=863 | exec_src=open[t+1] | raw_exec_p=80590.01 | buy_price(+slip)=80606.13 | size=0.000202 | notional=$16.31 | capital_before=$19.96 | cash_after=$3.61 | exposure=81.72% | SL=0.70% TP=1.41% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:55 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=845 | chunk=0/1 | step_in_chunk=895 | exec_src=open[t+1] | raw_exec_p=80359.82 | buy_price(+slip)=80375.89 | size=0.000183 | notional=$14.69 | capital_before=$19.90 | cash_after=$5.18 | exposure=73.81% | SL=0.67% TP=1.46% | tier=Micro Capital | TF=5m | profile=scalper
